,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,avg
0,False,True,-1,-1,1,8.534379098550108
1,False,True,-1,-1,2,1.0854241645668246
2,False,True,-1,-1,5,0.0012250705866337767
3,False,True,-1,-1,4,0.01151554457423133
4,False,True,-1,-1,3,0.1185772214857926
5,True,True,1000,750,3,1.3777851147521478
6,True,True,3000,750,3,3.377694963334678
7,True,True,1000,1000,3,1.5043125600112333
8,True,True,1000,2000,3,2.00263060718839
9,True,True,3000,2000,3,4.003106522695884
10,True,True,500,500,4,0.7491583579170985
11,True,True,3000,500,4,3.249977674010267
12,True,True,500,250,4,0.6248710551225888
13,True,True,1000,500,4,1.2500589048801547
14,True,True,500,750,4,0.8747704315879422
15,True,True,1000,750,4,1.3740863886398247
16,True,True,500,1000,4,1.0003569526648675
17,True,True,1500,1000,4,1.999338426962636
18,True,True,2000,1000,4,2.500478822749406
19,True,True,1500,2000,4,2.5014467453187152
20,True,True,3000,2000,4,4.002529179139873
21,True,True,1000,500,5,1.250339343587535
22,True,True,3000,500,1,9.965046251262395
23,True,True,2000,500,5,2.2506077176614374
24,True,True,2000,2000,5,3.0011926097199684
25,True,False,1000,750,-1,1.3759782729396868
26,True,True,500,750,5,0.8748071877335455
27,True,True,1500,250,5,1.6252675013805082
28,True,True,2000,750,5,2.3756190547828546
29,True,True,1000,2000,5,2.0021198761647216
30,True,True,3000,750,5,3.3757347972510736
31,True,True,2000,1000,3,2.4988538811782486
32,True,True,500,1000,5,0.9996048156584685
33,True,True,500,500,5,0.7494917423880769
34,True,True,1000,1000,5,1.5024580714044484
35,True,True,500,1000,3,1.004259582879486
36,True,True,500,2000,5,1.4973649764709593
37,True,True,3000,1000,3,3.5008410862113966
38,True,False,1500,250,-1,1.625202070686242
39,True,True,1500,500,4,1.7509652693550224
40,True,False,2000,250,-1,2.124757517861655
41,True,True,2000,2000,4,2.9996086400693427
42,True,True,1500,500,1,8.712428220189162
43,True,True,1500,750,5,1.875573825119282
44,True,True,500,750,3,0.8792425501251555
45,True,True,2000,500,1,8.948403424138982
46,True,True,2000,750,3,2.3777848038693357
47,True,False,500,1000,-1,0.998767548692535
