,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,mse
0,False,True,,,1.0,1.4283927556923708e-05
1,False,True,,,2.0,2.182215371334544e-07
2,False,True,,,3.0,6.0480987225094365e-34
3,False,True,,,4.0,1.57049486340618e-34
4,False,True,,,5.0,1.430148334536441e-35
5,True,False,500.0,250.0,,1.3352098126352299e-09
6,True,False,500.0,500.0,,3.988127936496523e-09
7,True,False,500.0,750.0,,1.2325737962701556e-08
8,True,False,500.0,1000.0,,3.8327827032750666e-08
9,True,False,500.0,2000.0,,3.723170627123605e-07
10,True,False,1000.0,250.0,,5.59930786546936e-08
11,True,False,1000.0,500.0,,1.0991572982579878e-07
12,True,False,1000.0,750.0,,2.069442780810419e-07
13,True,False,1000.0,1000.0,,3.855019316020222e-07
14,True,False,1000.0,2000.0,,8.566882604587147e-07
15,True,False,1500.0,250.0,,5.278191818811836e-07
16,True,False,1500.0,500.0,,8.167287239330691e-07
17,True,False,1500.0,750.0,,1.0938739527181795e-06
18,True,False,1500.0,1000.0,,1.3581207518333783e-06
19,True,False,1500.0,2000.0,,1.4114908956968469e-06
20,True,False,2000.0,250.0,,2.040337385608808e-06
21,True,False,2000.0,500.0,,2.302829091735889e-06
22,True,False,2000.0,750.0,,2.339442458961442e-06
23,True,False,2000.0,1000.0,,2.272192587147309e-06
24,True,False,2000.0,2000.0,,1.0443605846519812e-06
25,True,False,3000.0,250.0,,1.0375657598926088e-06
26,True,False,3000.0,500.0,,5.5766059731802e-07
27,True,False,3000.0,750.0,,2.4233499843573746e-07
28,True,False,3000.0,1000.0,,6.802553303332802e-08
29,True,False,3000.0,2000.0,,1.5133551101240609e-06
30,True,True,500.0,250.0,1.0,1.379320750267151e-05
31,True,True,500.0,250.0,2.0,4.852232940499455e-07
32,True,True,500.0,250.0,3.0,1.4224366684456203e-09
33,True,True,500.0,250.0,4.0,1.35116581961583e-09
34,True,True,500.0,250.0,5.0,1.0330410977739055e-09
35,True,True,500.0,500.0,1.0,1.5559425986836007e-05
36,True,True,500.0,500.0,2.0,6.032264904926842e-07
37,True,True,500.0,500.0,3.0,4.127448610017064e-09
38,True,True,500.0,500.0,4.0,3.658484967415922e-09
39,True,True,500.0,500.0,5.0,3.897082278319541e-09
40,True,True,500.0,750.0,1.0,5.710135512517735e-06
41,True,True,500.0,750.0,2.0,6.785944759000231e-07
42,True,True,500.0,750.0,3.0,1.1651899084300666e-08
43,True,True,500.0,750.0,4.0,1.3197149740283453e-08
44,True,True,500.0,750.0,5.0,1.4930159429741957e-08
45,True,True,500.0,1000.0,1.0,6.154763002216948e-06
46,True,True,500.0,1000.0,2.0,9.192226466081104e-07
47,True,True,500.0,1000.0,3.0,4.027732228869273e-08
48,True,True,500.0,1000.0,4.0,3.63859449759182e-08
