,dummyLocation,gpsPerturbated,dumRadMin,dumRadStep,pertDec,avg
0,False,True,-1,-1,1,8.534379098550108
1,False,True,-1,-1,2,1.0854241645668246
2,False,True,-1,-1,3,0.1185772214857926
3,False,True,-1,-1,4,0.0115155445742313
4,False,True,-1,-1,5,0.0012250705866337
5,True,False,500,250,-1,0.6251421341888249
6,True,False,500,500,-1,0.7521530165193379
7,True,False,500,750,-1,0.8746389170012215
8,True,False,500,1000,-1,0.998767548692535
9,True,False,500,2000,-1,1.5001232431589304
10,True,False,1000,250,-1,1.124557863196504
11,True,False,1000,500,-1,1.2504773564732392
12,True,False,1000,750,-1,1.3759782729396868
13,True,False,1000,1000,-1,1.5018547566842462
14,True,False,1000,2000,-1,1.9988061758522968
15,True,False,1500,250,-1,1.625202070686242
16,True,False,1500,500,-1,1.7503754710232216
17,True,False,1500,750,-1,1.87485295846458
18,True,False,1500,1000,-1,1.9990573217242376
19,True,False,1500,2000,-1,2.503305092107001
20,True,False,2000,250,-1,2.124757517861655
21,True,False,2000,500,-1,2.2501243867389698
22,True,False,2000,750,-1,2.376070399944288
23,True,False,2000,1000,-1,2.500351162067465
24,True,False,2000,2000,-1,2.999449844850944
25,True,False,3000,250,-1,3.1251786204737373
26,True,False,3000,500,-1,3.249756844303577
27,True,False,3000,750,-1,3.377472491074887
28,True,False,3000,1000,-1,3.5003746885022915
29,True,False,3000,2000,-1,4.007168264178507
30,True,True,500,250,1,8.542595742982392
31,True,True,500,250,2,1.2901584903868302
32,True,True,500,250,3,0.6311099195535073
33,True,True,500,250,4,0.6248710551225888
34,True,True,500,250,5,0.6246609813569689
35,True,True,500,500,1,8.507103757829835
36,True,True,500,500,2,1.3456607060836134
37,True,True,500,500,3,0.7555504528198862
38,True,True,500,500,4,0.7491583579170985
39,True,True,500,500,5,0.7494917423880769
40,True,True,500,750,1,8.546427052103512
41,True,True,500,750,2,1.4062228212762584
42,True,True,500,750,3,0.8792425501251555
43,True,True,500,750,4,0.8747704315879422
44,True,True,500,750,5,0.8748071877335455
45,True,True,500,1000,1,8.572249651534975
46,True,True,500,1000,2,1.4818243768672053
47,True,True,500,1000,3,1.004259582879486
